region,year,coral_cover,fish_biomass,species_richness,n_sites,population,fishing_effort,avg_income,fishing_dependence
Northern Red Sea,2018,53.4,258.4,36,15,45300,2481,1278,37.8
Northern Red Sea,2019,51.2,228,38,15,46466,2754,1267,42
Northern Red Sea,2020,45,195.1,38,15,46655,2751,1421,38.3
Northern Red Sea,2021,49.9,201,39,13,49278,2975,1397,37.6
Northern Red Sea,2022,47.5,208.5,43,12,50135,3150,1251,36.4
Northern Red Sea,2023,50.4,211.7,40,12,51829,3123,1495,35.2
Central Red Sea,2018,54.7,264,49,14,77551,4454,910,51
Central Red Sea,2019,43.2,197.9,40,8,80845,4732,1040,44.9
Central Red Sea,2020,43.4,176.1,33,13,84347,4723,1124,47.5
Central Red Sea,2021,40.2,191.2,37,12,86217,5416,1119,50.3
Central Red Sea,2022,39.5,177.3,28,9,87920,5354,1133,49.5
Central Red Sea,2023,37.4,151.6,34,9,89709,5662,1151,46.4
Southern Red Sea,2018,44.7,185.7,42,11,119162,6820,825,63.5
Southern Red Sea,2019,42.2,192,37,11,122838,7180,845,58.8
Southern Red Sea,2020,34,163,25,12,127639,7901,887,60.3
Southern Red Sea,2021,39.4,160,38,11,128470,8030,898,61.7
Southern Red Sea,2022,28.9,156.8,22,11,133197,8810,959,62.9
Southern Red Sea,2023,28.4,126.3,17,13,135314,9096,929,55.3
Gulf of Aqaba,2018,71.8,288.5,59,9,34707,1229,1422,22.2
Gulf of Aqaba,2019,68.1,308.8,52,10,36654,1178,1699,23
Gulf of Aqaba,2020,60.6,262.2,50,14,36235,1321,1730,22.2
Gulf of Aqaba,2021,55.3,261.5,50,9,38205,1414,1517,22.5
Gulf of Aqaba,2022,54.7,264.1,44,12,38336,1411,1660,22
Gulf of Aqaba,2023,58.1,266.2,44,8,38528,1438,1883,19.6
Saudi Coast,2018,56.5,231.2,45,9,93936,5254,1789,40.7
Saudi Coast,2019,60.4,267.1,43,12,98040,6093,1840,40.6
Saudi Coast,2020,61,253.2,46,9,99027,6462,2041,41
Saudi Coast,2021,50.2,211.1,41,11,104102,6492,1976,38.1
Saudi Coast,2022,56.4,219.3,46,12,107995,7094,2256,43.9
Saudi Coast,2023,48.3,231.3,42,10,108850,7543,2266,37.8
